Pen,Page,Bull_Name,Tattoo,Breed,DOB,Registration_Number,CED,BW,WW,YW,RADG,DMI,YH,SC,Doc,HP,CEM,Milk,MW,DollarEN,MH,CW,Marb,Re,Fat,DollarM,DollarB,DollarC,DollarW,DollarW_Rank,DollarC_Rank,DollarB_Rank,DollarM_Rank,DollarEN_Rank,YW_Rank,ACC_CED,ACC_BW,ACC_WW,ACC_YW,ACC_RADG,ACC_DMI,ACC_YH,ACC_SC,ACC_Doc,ACC_HP,ACC_CEM,ACC_Milk,ACC_MW,ACC_MH,ACC_CW,ACC_Marb,ACC_RE,ACC_Fat
2,3,SCOUT M008,008M,Angus,2024-07-25,20919989,8.0,2.4,58.0,89.0,0.37,0.83,0.2,-0.44,29.0,22.2,9.0,47.0,106.0,-48.45,0.6,76.0,1.82,1.45,0.04,62.27,247.88,403.56,73.84,47.0,90.0,86.0,36.0,13.0,7.0,0.47,0.43,0.43,0.3,0.3,0.38,0.33,0.28,0.39,0.34,0.34,0.5,0.28,0.37,0.15,0.29,0.32,0.43
2,3,LANCE M068,068M,Angus,2024-07-23,23523746,9.0,-3.5,76.0,85.0,0.38,2.26,0.6,1.6,20.0,3.2,16.0,30.0,151.0,-61.73,1.2,111.0,2.44,0.54,0.078,12.53,279.12,399.63,88.14,82.0,89.0,96.0,2.0,4.0,3.0,0.3,0.15,0.15,0.36,0.18,0.35,0.19,0.37,0.15,0.15,0.28,0.19,0.15,0.23,0.15,0.15,0.21,0.38
2,4,CASCADE M095,095M,Angus,2024-10-06,21693195,14.0,-1.3,65.0,182.0,0.25,1.24,0.5,1.48,31.0,5.8,5.0,40.0,32.0,-9.22,0.2,83.0,1.65,0.91,0.011,66.16,265.25,394.77,79.59,57.0,88.0,94.0,41.0,70.0,94.0,0.5,0.4,0.37,0.22,0.47,0.5,0.43,0.36,0.44,0.36,0.32,0.42,0.32,0.45,0.4,0.2,0.49,0.33
2,4,NITRO M044,044M,Angus,2024-08-10,21307678,13.0,2.2,100.0,148.0,0.18,1.75,0.3,1.87,16.0,21.9,7.0,18.0,54.0,-6.25,0.9,86.0,1.08,1.5,-0.045,121.14,212.61,393.63,81.09,62.0,87.0,74.0,92.0,74.0,59.5,0.5,0.5,0.43,0.4,0.5,0.29,0.45,0.5,0.5,0.5,0.39,0.39,0.38,0.5,0.5,0.45,0.5,0.41
2,4,GRANITE M077,077M,Angus,2024-07-05,23509984,15.0,1.3,117.0,154.0,0.25,1.9,0.5,0.3,25.0,18.9,9.0,15.0,76.0,-18.63,-0.1,55.0,2.18,0.79,0.058,121.05,198.37,390.89,95.95,92.0,86.0,64.0,91.0,53.0,65.5,0.44,0.5,0.28,0.32,0.32,0.28,0.43,0.34,0.5,0.29,0.32,0.36,0.5,0.5,0.48,0.18,0.45,0.38
2,4,POWER M046,046M,Angus,2024-10-11,22207032,20.0,0.6,43.0,116.0,0.26,1.03,0.2,0.34,37.0,21.9,17.0,40.0,89.0,-39.12,0.5,79.0,1.39,0.95,0.012,59.33,253.85,388.6,54.16,13.0,85.0,89.0,33.0,29.0,22.5,0.47,0.5,0.5,0.5,0.41,0.35,0.5,0.43,0.5,0.34,0.5,0.37,0.41,0.41,0.5,0.48,0.36,0.5
2,5,TETON M089,089M,Angus,2024-04-21,20048403,14.0,4.3,65.0,130.0,0.25,0.44,1.0,0.94,38.0,14.4,18.0,32.0,76.0,-24.35,0.4,44.0,2.34,0.71,-0.008,69.58,246.86,388.17,66.42,30.0,84.0,85.0,45.0,40.0,39.5,0.5,0.39,0.38,0.43,0.5,0.25,0.37,0.34,0.44,0.48,0.5,0.5,0.36,0.39,0.49,0.5,0.37,0.37
2,5,HIGHLAND M078,078M,Angus,2024-05-20,24855078,8.0,-4.4,75.0,167.0,0.43,1.56,0.9,1.29,23.0,5.6,14.0,26.0,3.0,13.45,0.2,61.0,1.85,0.84,0.028,95.42,232.69,386.82,82.9,67.0,83.0,81.0,73.0,96.0,81.5,0.45,0.17,0.15,0.29,0.42,0.23,0.18,0.26,0.5,0.39,0.35,0.45,0.37,0.27,0.37,0.39,0.2,0.48
2,5,NEVADA M084,084M,Angus,2024-10-14,24692332,9.0,-1.1,108.0,173.0,0.22,1.8,0.7,2.2,14.0,13.1,18.0,11.0,151.0,-54.47,0.7,95.0,1.66,1.57,0.021,65.77,251.49,385.74,83.76,70.0,82.0,87.0,40.0,9.0,87.5,0.24,0.17,0.42,0.19,0.19,0.16,0.35,0.26,0.23,0.15,0.23,0.32,0.2,0.27,0.31,0.15,0.18,0.29
2,5,USHER M090,090M,Angus,2024-08-04,22871849,10.0,4.7,117.0,126.0,0.39,0.71,1.5,-0.75,31.0,13.2,7.0,21.0,33.0,1.06,0.9,106.0,0.6,0.15,0.044,126.92,181.91,380.33,88.89,84.0,81.0,54.0,96.0,87.0,33.0,0.26,0.29,0.37,0.34,0.23,0.22,0.46,0.32,0.21,0.32,0.15,0.24,0.35,0.15,0.15,0.41,0.26,0.15
3,6,ELITE M061,061M,Angus,2024-05-06,22090932,9.0,4.7,85.0,145.0,0.43,1.42,1.1,0.81,23.0,12.6,5.0,12.0,37.0,4.82,1.1,111.0,0.08,1.26,-0.016,90.64,205.17,380.18,58.53,21.0,80.0,70.0,66.0,89.0,53.5,0.26,0.47,0.32,0.34,0.47,0.45,0.42,0.5,0.15,0.42,0.28,0.5,0.28,0.47,0.44,0.37,0.35,0.46
3,6,GUARDIAN M037,037M,Angus,2024-06-08,21980916,1.0,-5.6,51.0,155.0,0.33,1.46,-0.7,0.09,6.0,7.8,6.0,18.0,126.0,-45.85,-0.0,111.0,1.92,0.29,0.003,11.33,311.27,376.46,58.71,22.0,79.0,99.0,1.0,20.0,68.0,0.37,0.26,0.27,0.18,0.36,0.15,0.17,0.28,0.19,0.29,0.28,0.19,0.22,0.2,0.35,0.2,0.26,0.22
3,6,BLAZE M020,020M,Angus,2024-10-03,24437458,1.0,3.8,107.0,140.0,0.25,2.2,1.0,2.88,15.0,14.0,15.0,35.0,-13.0,13.22,0.8,63.0,1.59,0.46,0.068,145.8,167.84,374.37,97.44,94.0,78.0,38.0,99.0,95.0,49.0,0.24,0.2,0.26,0.3,0.5,0.15,0.48,0.23,0.19,0.23,0.38,0.16,0.39,0.41,0.44,0.21,0.34,0.39
3,6,COLONEL M027,027M,Angus,2024-06-13,20546908,13.0,2.1,102.0,174.0,0.39,1.96,1.0,-0.03,31.0,11.9,11.0,33.0,46.0,-15.19,1.5,101.0,0.38,0.89,-0.061,110.68,196.64,374.27,92.95,89.0,77.0,62.0,80.0,59.0,89.0,0.39,0.35,0.39,0.39,0.31,0.23,0.5,0.34,0.38,0.37,0.28,0.22,0.35,0.17,0.25,0.34,0.32,0.38
3,7,HUNTER M064,064M,Angus,2024-10-13,22019162,9.0,-2.8,66.0,124.0,0.17,1.22,0.6,2.07,7.0,12.8,2.0,37.0,42.0,-12.99,1.5,80.0,1.51,1.52,-0.006,76.21,243.81,372.58,81.06,61.0,76.0,84.0,53.0,63.0,30.5,0.32,0.15,0.4,0.2,0.35,0.23,0.17,0.34,0.19,0.44,0.22,0.19,0.23,0.2,0.28,0.42,0.15,0.37
3,7,MAVERICK M018,018M,Angus,2024-08-14,22609533,21.0,-2.3,61.0,152.0,0.34,-0.06,-0.3,0.99,7.0,17.4,18.0,42.0,54.0,-18.46,0.5,88.0,1.03,0.81,-0.009,84.18,256.66,372.5,84.51,73.0,75.0,91.0,61.0,55.0,62.0,0.33,0.19,0.39,0.32,0.5,0.26,0.38,0.38,0.41,0.15,0.15,0.37,0.47,0.35,0.47,0.41,0.33,0.25
3,7,MARSHAL M025,025M,Angus,2024-07-27,22756465,1.0,-0.7,93.0,109.0,0.28,2.19,-0.2,-0.7,10.0,25.4,2.0,14.0,46.0,-1.67,1.4,64.0,1.4,1.06,-0.03,121.77,174.49,368.2,74.77,49.0,74.0,46.0,93.0,79.0,16.0,0.4,0.36,0.5,0.21,0.27,0.38,0.46,0.3,0.26,0.36,0.48,0.31,0.25,0.25,0.39,0.43,0.3,0.42
3,7,GLACIER M099,099M,Angus,2024-07-15,24547618,10.0,0.5,90.0,146.0,0.28,1.14,-0.0,0.69,22.0,9.5,21.0,33.0,75.0,-23.58,0.4,65.0,1.62,1.22,0.01,75.28,217.18,367.55,89.98,86.0,73.0,75.0,52.0,42.0,56.0,0.34,0.39,0.5,0.5,0.38,0.5,0.5,0.26,0.47,0.5,0.28,0.34,0.43,0.5,0.49,0.41,0.44,0.33
3,8,ALTITUDE M093,093M,Angus,2024-10-06,22347498,15.0,-0.9,82.0,178.0,0.26,1.8,-0.0,0.6,35.0,15.8,9.0,47.0,66.0,-28.13,0.3,111.0,0.71,0.92,0.065,84.9,240.64,366.01,97.25,93.0,72.0,82.0,63.0,36.0,91.0,0.25,0.27,0.44,0.33,0.25,0.41,0.49,0.28,0.3,0.34,0.37,0.27,0.15,0.42,0.25,0.5,0.32,0.42
3,8,HORIZON M100,100M,Angus,2024-09-23,24141648,6.0,2.4,50.0,192.0,0.25,1.5,0.8,0.56,43.0,15.9,16.0,24.0,103.0,-34.79,0.1,66.0,1.51,1.28,0.055,44.14,255.25,362.93,46.41,3.0,71.0,90.0,19.0,32.0,99.5,0.5,0.29,0.49,0.5,0.41,0.44,0.33,0.46,0.41,0.28,0.36,0.29,0.5,0.48,0.3,0.45,0.37,0.5
4,8,CHIEF M002,002M,Angus,2024-04-27,23924118,13.0,-3.1,92.0,146.0,0.33,1.26,-0.1,1.48,46.0,13.1,18.0,24.0,16.0,7.49,-0.3,15.0,2.25,0.47,-0.056,117.71,169.68,362.14,91.36,88.0,70.0,39.0,87.0,90.0,56.0,0.29,0.45,0.15,0.44,0.22,0.33,0.5,0.36,0.29,0.38,0.28,0.38,0.27,0.39,0.28,0.28,0.23,0.39
4,8,BADLANDS M072,072M,Angus,2024-08-16,21726056,18.0,-2.8,104.0,170.0,0.43,0.6,1.2,0.98,27.0,5.8,21.0,28.0,119.0,-46.28,1.3,89.0,1.15,0.61,-0.043,59.15,223.65,354.11,98.17,96.0,69.0,77.0,32.0,19.0,85.0,0.41,0.33,0.32,0.18,0.24,0.39,0.39,0.3,0.22,0.35,0.35,0.41,0.17,0.31,0.43,0.19,0.38,0.21
4,9,THUNDER M019,019M,Angus,2024-07-11,23924985,19.0,2.8,108.0,161.0,0.32,2.59,0.1,0.02,12.0,15.2,12.0,27.0,55.0,-11.51,-0.5,92.0,0.56,1.55,0.023,119.25,175.84,353.52,93.21,90.0,68.0,49.0,88.0,67.0,75.5,0.44,0.45,0.5,0.46,0.5,0.36,0.38,0.43,0.42,0.5,0.5,0.39,0.38,0.5,0.29,0.34,0.5,0.32
4,9,APOLLO M057,057M,Angus,2024-09-20,21325269,15.0,2.4,42.0,157.0,0.4,0.82,-0.0,2.26,19.0,12.1,5.0,40.0,32.0,-12.06,-0.1,111.0,0.48,0.37,0.003,56.42,257.98,351.57,55.5,15.0,67.0,92.0,29.0,64.0,73.0,0.33,0.28,0.36,0.15,0.5,0.37,0.28,0.29,0.5,0.45,0.4,0.5,0.43,0.48,0.45,0.29,0.5,0.4
4,9,QUANTUM M047,047M,Angus,2024-05-01,23032831,15.0,1.6,73.0,144.0,0.25,1.78,-0.3,0.09,6.0,19.4,17.0,36.0,62.0,-19.06,0.7,52.0,1.54,1.26,0.087,91.28,193.43,343.81,80.2,59.0,66.0,56.0,68.0,52.0,51.5,0.36,0.45,0.4,0.5,0.43,0.5,0.44,0.21,0.24,0.45,0.31,0.5,0.5,0.47,0.37,0.41,0.5,0.47
4,9,IRON M039,039M,Angus,2024-05-11,21318000,18.0,3.4,67.0,155.0,0.29,2.09,0.7,2.05,33.0,7.9,19.0,34.0,151.0,-67.76,0.4,91.0,1.31,1.52,0.055,15.27,252.31,343.78,68.3,33.0,65.0,88.0,4.0,1.0,68.0,0.36,0.36,0.21,0.45,0.5,0.5,0.19,0.5,0.26,0.3,0.28,0.44,0.24,0.35,0.27,0.23,0.4,0.42
4,10,FRONTIER M076,076M,Angus,2024-09-08,21926587,3.0,-1.1,53.0,192.0,0.38,0.69,1.5,1.54,6.0,17.0,4.0,31.0,46.0,-11.96,1.5,62.0,1.29,0.76,-0.038,69.87,243.46,342.98,65.32,26.0,64.0,83.0,46.0,65.0,99.5,0.37,0.15,0.21,0.15,0.2,0.24,0.22,0.3,0.44,0.2,0.17,0.37,0.15,0.22,0.15,0.15,0.2,0.15
4,10,EMPEROR M030,030M,Angus,2024-08-23,23425717,13.0,0.4,81.0,188.0,0.32,2.67,0.3,0.86,17.0,14.0,18.0,19.0,77.0,-22.36,-0.4,19.0,2.63,0.49,0.006,82.11,208.55,339.45,65.68,27.0,63.0,72.0,58.0,43.0,96.0,0.35,0.15,0.21,0.15,0.46,0.35,0.28,0.35,0.25,0.21,0.38,0.18,0.22,0.33,0.15,0.5,0.34,0.39
4,10,LAKOTA M082,082M,Angus,2024-09-08,23857882,11.0,-1.4,85.0,168.0,0.27,0.69,0.1,1.44,8.0,5.5,11.0,46.0,-4.0,8.71,0.0,36.0,1.93,0.54,0.045,105.73,194.5,339.08,97.55,95.0,62.0,58.5,79.0,91.0,83.0,0.44,0.35,0.25,0.34,0.38,0.5,0.5,0.5,0.42,0.5,0.46,0.5,0.34,0.43,0.5,0.32,0.5,0.45
4,10,JUSTICE M022,022M,Angus,2024-05-25,20993739,7.0,-2.3,61.0,161.0,0.41,2.62,0.6,2.88,37.0,10.5,9.0,34.0,96.0,-36.88,0.3,61.0,1.5,1.01,-0.061,42.34,220.45,329.66,72.82,44.0,61.0,76.0,17.0,31.0,75.5,0.4,0.15,0.42,0.3,0.27,0.15,0.32,0.36,0.36,0.2,0.32,0.24,0.31,0.44,0.5,0.39,0.34,0.33
5,11,FORTRESS M036,036M,Angus,2024-10-17,22571796,12.0,2.8,60.0,89.0,0.34,0.86,0.4,1.06,19.0,12.4,9.0,13.0,-5.0,25.0,0.5,41.0,1.08,0.96,-0.038,93.82,172.94,328.43,43.0,1.0,60.0,43.0,72.0,99.0,7.0,0.5,0.49,0.26,0.49,0.5,0.39,0.5,0.49,0.46,0.43,0.5,0.4,0.5,0.45,0.48,0.37,0.38,0.34
5,11,CANYON M073,073M,Angus,2024-09-27,24100130,14.0,-0.1,84.0,132.0,0.29,2.17,0.3,-0.03,29.0,17.9,20.0,34.0,21.0,-0.63,-0.7,42.0,1.47,0.55,0.105,120.65,156.95,327.38,82.75,65.0,59.0,30.0,89.0,82.0,41.0,0.35,0.5,0.2,0.46,0.36,0.42,0.45,0.42,0.5,0.35,0.22,0.17,0.43,0.35,0.5,0.39,0.38,0.4
5,11,ALPINE M071,071M,Angus,2024-09-10,23015909,18.0,1.4,51.0,130.0,0.33,-0.21,1.0,1.39,15.0,13.2,10.0,43.0,58.0,-22.14,0.4,28.0,2.22,0.14,0.013,53.07,227.32,324.76,69.42,35.0,58.0,79.0,24.0,44.0,39.5,0.23,0.38,0.24,0.33,0.42,0.43,0.44,0.29,0.5,0.45,0.43,0.5,0.33,0.5,0.42,0.45,0.33,0.5
5,11,WYOMING M092,092M,Angus,2024-05-01,20131612,11.0,2.0,50.0,173.0,0.22,1.25,0.4,0.75,31.0,25.8,13.0,33.0,75.0,-27.87,0.2,26.0,1.61,0.41,-0.049,82.14,205.93,323.63,53.74,12.0,57.0,71.0,59.0,37.0,87.5,0.4,0.48,0.41,0.5,0.43,0.36,0.26,0.49,0.44,0.3,0.31,0.38,0.32,0.4,0.5,0.32,0.5,0.5
5,12,DUKE M003,003M,Angus,2024-09-17,23212534,7.0,1.9,78.0,162.0,0.39,2.1,0.2,2.23,9.0,14.1,6.0,25.0,100.0,-33.4,0.5,88.0,0.79,1.13,0.043,61.24,199.62,323.11,70.01,38.0,56.0,65.0,35.0,33.0,77.0,0.5,0.36,0.38,0.35,0.31,0.5,0.3,0.44,0.45,0.32,0.46,0.5,0.5,0.5,0.5,0.5,0.47,0.38
5,12,MONTANA M083,083M,Angus,2024-08-07,22050314,13.0,2.2,63.0,114.0,0.28,1.24,0.9,1.1,29.0,14.9,17.0,35.0,20.0,-1.11,-0.5,39.0,1.41,0.43,0.036,92.08,158.38,322.76,72.25,42.0,55.0,32.0,69.0,80.0,20.0,0.16,0.5,0.31,0.5,0.5,0.41,0.5,0.37,0.44,0.47,0.45,0.41,0.47,0.28,0.5,0.26,0.42,0.4
5,12,PRINCE M006,006M,Angus,2024-05-23,23661275,15.0,2.3,79.0,156.0,0.38,1.69,0.0,0.15,29.0,16.9,9.0,28.0,118.0,-43.13,0.4,23.0,2.4,0.56,0.077,60.69,198.03,321.59,75.26,51.0,54.0,63.0,34.0,23.0,70.5,0.42,0.45,0.34,0.46,0.5,0.45,0.47,0.34,0.47,0.42,0.5,0.37,0.38,0.5,0.35,0.5,0.43,0.39
5,12,CAPTAIN M012,012M,Angus,2024-09-04,24675313,9.0,0.1,71.0,146.0,0.37,0.77,0.9,0.09,21.0,14.3,2.0,30.0,7.0,9.92,0.2,70.0,0.55,0.51,0.067,98.23,175.75,320.76,69.91,37.0,53.0,48.0,76.0,92.0,56.0,0.22,0.42,0.37,0.5,0.34,0.33,0.45,0.33,0.38,0.26,0.44,0.5,0.3,0.36,0.48,0.49,0.3,0.37
5,13,BASIN M094,094M,Angus,2024-07-23,24149574,10.0,-0.1,45.0,136.0,0.36,2.55,0.5,-0.1,24.0,22.7,10.0,20.0,46.0,-2.22,-0.1,54.0,0.77,1.07,0.09,82.97,169.8,318.67,45.18,2.0,52.0,40.0,60.0,78.0,43.5,0.32,0.27,0.32,0.4,0.36,0.42,0.5,0.48,0.38,0.5,0.41,0.46,0.27,0.5,0.5,0.28,0.25,0.44
5,13,DESERT M096,096M,Angus,2024-05-28,21399238,10.0,1.9,81.0,153.0,0.18,2.85,0.2,2.13,29.0,12.9,6.0,20.0,106.0,-37.09,0.2,46.0,1.97,0.98,0.023,49.54,195.33,314.33,65.72,28.0,51.0,61.0,21.0,30.0,63.5,0.5,0.15,0.26,0.31,0.38,0.19,0.35,0.31,0.37,0.46,0.35,0.39,0.35,0.43,0.15,0.15,0.33,0.21
6,13,MAJOR M005,005M,Angus,2024-05-08,23412657,1.0,-1.0,108.0,125.0,0.43,0.3,0.4,1.63,21.0,16.9,14.0,16.0,68.0,-14.99,0.1,34.0,0.97,1.47,0.034,112.29,136.4,308.84,85.84,79.0,50.0,18.0,84.0,60.0,32.0,0.47,0.48,0.4,0.38,0.5,0.49,0.19,0.5,0.36,0.49,0.5,0.35,0.5,0.18,0.4,0.41,0.38,0.34
6,13,LIBERTY M042,042M,Angus,2024-08-07,21360687,2.0,0.2,64.0,92.0,0.37,3.02,0.8,1.78,27.0,9.5,17.0,38.0,73.0,-26.55,-0.1,67.0,1.3,0.78,-0.061,57.58,181.24,308.39,78.36,53.0,49.0,51.0,31.0,39.0,9.0,0.46,0.5,0.5,0.49,0.5,0.5,0.44,0.42,0.42,0.5,0.43,0.45,0.43,0.42,0.5,0.39,0.5,0.48
6,14,JASPER M080,080M,Angus,2024-04-23,20072780,8.0,-2.2,63.0,153.0,0.41,1.76,1.0,1.3,15.0,16.1,12.0,26.0,118.0,-41.04,0.4,77.0,0.74,0.98,0.046,46.39,203.65,307.91,61.86,25.0,48.0,69.0,20.0,26.0,63.5,0.29,0.31,0.39,0.46,0.45,0.32,0.15,0.4,0.19,0.37,0.32,0.2,0.36,0.42,0.29,0.2,0.27,0.3
6,14,TITAN M009,009M,Angus,2024-09-22,21502392,11.0,-3.6,113.0,129.0,0.29,2.36,0.6,-0.35,17.0,12.4,3.0,27.0,126.0,-44.99,1.2,51.0,1.97,0.88,-0.001,72.61,174.01,303.65,108.29,100.0,47.0,45.0,49.0,21.0,38.0,0.26,0.5,0.3,0.5,0.44,0.35,0.42,0.5,0.32,0.36,0.41,0.42,0.39,0.5,0.44,0.44,0.5,0.21
6,14,VANGUARD M052,052M,Angus,2024-08-17,23773079,16.0,-1.4,58.0,154.0,0.31,1.03,0.9,0.51,23.0,17.2,22.0,26.0,83.0,-27.82,0.8,40.0,1.33,0.76,0.076,70.51,193.84,301.49,54.63,14.0,46.0,57.0,48.0,38.0,65.5,0.45,0.26,0.38,0.36,0.5,0.45,0.41,0.5,0.36,0.15,0.32,0.3,0.36,0.36,0.5,0.32,0.43,0.4
6,14,KING M004,004M,Angus,2024-09-25,24570136,11.0,-1.2,94.0,138.0,0.3,1.85,0.9,-0.75,19.0,14.3,2.0,22.0,69.0,-18.6,-0.1,72.0,0.9,0.4,0.017,91.07,164.29,297.69,82.76,66.0,45.0,36.0,67.0,54.0,46.5,0.38,0.37,0.5,0.42,0.41,0.5,0.48,0.43,0.42,0.5,0.34,0.16,0.29,0.3,0.5,0.39,0.41,0.47
6,15,DAKOTA M074,074M,Angus,2024-07-15,23829086,16.0,-4.3,87.0,164.0,0.19,0.99,-0.5,1.53,6.0,21.4,3.0,31.0,134.0,-51.79,0.5,69.0,0.84,1.33,0.0,63.8,194.5,292.6,91.1,87.0,44.0,58.5,39.0,10.0,78.0,0.29,0.5,0.5,0.5,0.39,0.31,0.47,0.5,0.39,0.48,0.26,0.39,0.47,0.5,0.42,0.5,0.45,0.47
6,15,STEEL M049,049M,Angus,2024-08-24,24622522,17.0,1.2,86.0,128.0,0.35,0.92,0.9,1.06,22.0,17.6,12.0,24.0,19.0,0.63,0.4,27.0,0.81,1.06,0.029,122.66,122.75,290.16,78.84,54.0,43.0,10.0,94.0,85.0,36.0,0.38,0.25,0.42,0.5,0.47,0.47,0.36,0.35,0.49,0.5,0.39,0.5,0.33,0.43,0.5,0.5,0.5,0.38
6,15,DIESEL M034,034M,Angus,2024-09-05,21748335,9.0,4.2,78.0,102.0,0.26,1.4,1.0,0.24,26.0,15.5,13.0,38.0,35.0,-8.93,1.2,32.0,0.7,0.9,-0.025,97.21,119.43,283.59,71.99,40.0,42.0,9.0,74.0,71.0,11.5,0.15,0.34,0.35,0.36,0.3,0.36,0.19,0.3,0.38,0.2,0.33,0.45,0.46,0.47,0.27,0.15,0.15,0.41
6,15,JUGGERNAUT M040,040M,Angus,2024-05-14,20443484,13.0,-0.5,84.0,138.0,0.28,0.81,-0.3,0.29,21.0,14.0,14.0,33.0,47.0,-13.71,0.1,42.0,1.2,0.12,0.061,97.92,158.1,282.93,84.48,72.0,41.0,31.0,75.0,62.0,46.5,0.4,0.23,0.34,0.49,0.46,0.5,0.47,0.43,0.41,0.26,0.45,0.32,0.34,0.33,0.5,0.5,0.5,0.25
